epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.8309,1.1999,3.14617,1.25881,0.00252,0.66923,0.36846,0.21014,1.35492,3.48674,1.20082,0.00014,0.00014,0.00014
2,92.005,0.93117,2.42509,1.05151,0.00365,0.96923,0.49131,0.35884,1.10029,3.34791,1.13475,0.00029406,0.00029406,0.00029406
3,133.243,0.93454,1.71785,1.08845,0.00374,0.99231,0.68039,0.32957,1.0722,3.32578,1.1134,0.000441784,0.000441784,0.000441784
4,174.131,1.04712,1.45172,1.07519,1,0.48442,0.63889,0.45208,1.04817,3.11537,1.09907,0.000583172,0.000583172,0.000583172
5,215.072,0.92952,1.31986,1.05891,0.83057,0.45251,0.54607,0.34918,1.06661,3.05904,1.12014,0.000718224,0.000718224,0.000718224
6,262.08,0.92238,1.26925,1.03831,0.85319,0.44706,0.55897,0.29288,1.23849,3.07035,1.37003,0.00084694,0.00084694,0.00084694
7,308.646,0.95299,1.23387,1.04307,0.88417,0.43846,0.5218,0.39312,1.05733,2.88574,1.11788,0.00096932,0.00096932,0.00096932
8,353.749,0.97702,1.19794,1.05772,0.89641,0.59912,0.72578,0.45905,1.11296,2.75569,1.14719,0.00108536,0.00108536,0.00108536
9,398.27,0.94339,1.17365,1.04476,0.81152,0.52308,0.63512,0.34228,1.20345,2.7584,1.19187,0.00119507,0.00119507,0.00119507
10,444.826,0.99856,1.1389,1.06183,0.78693,0.59662,0.64425,0.26424,1.29351,2.95733,1.42671,0.00129844,0.00129844,0.00129844
11,489.981,0.95735,1.11142,1.06127,0.77597,0.61284,0.72361,0.49564,1.098,2.29001,1.2539,0.00139548,0.00139548,0.00139548
12,537.757,0.95085,1.07957,1.05091,0.84073,0.52308,0.68343,0.45275,1.18002,2.28984,1.37863,0.00148618,0.00148618,0.00148618
13,583.483,0.89006,1.06736,1.06004,0.73656,0.50769,0.65186,0.46887,1.14085,2.29817,1.20308,0.0015248,0.0015248,0.0015248
14,629.919,1.06775,1.14709,1.1063,0.59471,0.47692,0.57769,0.39853,1.1721,2.33937,1.28416,0.0014852,0.0014852,0.0014852
15,678.962,0.98609,1.07166,1.07833,0.54668,0.60769,0.6517,0.42911,1.26798,2.20929,1.45783,0.0014456,0.0014456,0.0014456
16,733.906,0.98554,1.01251,1.07281,0.75119,0.81538,0.86337,0.60189,1.07139,1.68932,1.21111,0.001406,0.001406,0.001406
17,781.861,0.93396,0.99149,1.03799,0.88423,0.75385,0.8963,0.63043,1.04883,1.62121,1.23621,0.0013664,0.0013664,0.0013664
18,826.775,0.91417,0.89715,1.06157,0.91973,0.89231,0.94152,0.69939,1.0183,1.32497,1.09542,0.0013268,0.0013268,0.0013268
19,873.039,0.95672,0.97467,1.05056,0.94992,0.87554,0.93558,0.68171,1.05076,1.3766,1.08367,0.0012872,0.0012872,0.0012872
20,916.956,0.94319,0.93508,1.08763,0.73377,0.91165,0.8737,0.65881,0.94099,1.3495,1.0459,0.0012476,0.0012476,0.0012476
21,964.854,0.89975,0.89725,1.06387,0.6612,0.93077,0.84102,0.62204,1.04568,1.4103,1.21886,0.001208,0.001208,0.001208
22,1009.21,0.9521,0.87566,1.06718,0.91259,0.93077,0.96398,0.70919,0.97983,1.19602,1.14757,0.0011684,0.0011684,0.0011684
23,1056.14,0.90174,0.87631,1.03364,0.86146,0.86154,0.93657,0.6979,0.94776,1.24724,1.04971,0.0011288,0.0011288,0.0011288
24,1100.31,0.88923,0.82205,1.01693,0.93279,0.93846,0.9844,0.69977,0.95306,1.1305,1.06335,0.0010892,0.0010892,0.0010892
25,1147.53,0.81904,0.79214,0.99074,0.94022,0.96795,0.98911,0.73626,0.87624,1.06902,1.01633,0.0010496,0.0010496,0.0010496
26,1197.31,0.84175,0.76963,0.99405,0.94758,0.97343,0.98847,0.73272,0.9258,1.07136,1.02494,0.00101,0.00101,0.00101
27,1246.92,0.86818,0.81682,1.05703,0.93996,0.96923,0.98859,0.75807,0.87054,1.02094,1.0174,0.0009704,0.0009704,0.0009704
28,1295.74,0.7731,0.74046,1.00559,0.9757,0.96154,0.9907,0.75027,0.87281,0.96307,1.02332,0.0009308,0.0009308,0.0009308
29,1342.35,0.77496,0.70843,1.00234,0.96757,0.97692,0.9929,0.74387,0.90107,0.98239,1.03807,0.0008912,0.0008912,0.0008912
30,1394.64,0.82956,0.74714,0.98205,0.9492,0.96923,0.989,0.73884,0.91463,0.9832,1.0534,0.0008516,0.0008516,0.0008516
31,1439.49,0.73444,0.69746,0.97909,0.97557,0.95385,0.99122,0.74725,0.86372,0.934,1.02087,0.000812,0.000812,0.000812
32,1485.57,0.8016,0.70677,1.00739,0.98461,0.98409,0.99424,0.7351,0.86148,0.94625,1.01161,0.0007724,0.0007724,0.0007724
33,1533.69,0.78286,0.67086,0.98983,0.97722,0.98996,0.99315,0.69493,0.939,0.90349,1.00375,0.0007328,0.0007328,0.0007328
34,1580.38,0.76312,0.67028,1.00686,0.98202,0.99231,0.99393,0.78158,0.76246,0.77854,0.94728,0.0006932,0.0006932,0.0006932
35,1626.23,0.81366,0.68486,0.98679,0.97704,0.98462,0.99117,0.78521,0.78587,0.7937,0.95669,0.0006536,0.0006536,0.0006536
36,1673.8,0.78446,0.66936,0.99826,0.96165,0.96458,0.98862,0.74676,0.91085,0.8463,0.98649,0.000614,0.000614,0.000614
37,1722.18,0.76394,0.63736,0.96966,0.97724,0.99088,0.99272,0.7917,0.77115,0.75271,0.93641,0.0005744,0.0005744,0.0005744
38,1772.06,0.72955,0.63299,0.98731,0.98481,0.9974,0.99352,0.7945,0.76236,0.72566,0.93389,0.0005348,0.0005348,0.0005348
